,date,day,filename,flag,id,keywords,link,month,place,publisher,year
512,2018/03/07,07,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-07T09:53:12+05:30->48317.txt,0,48317,[],http://timesofindia.indiatimes.com//city/vijayawada/special-status-out-of-question-says-fm-naidu-to-make-stance-clear-today/articleshow/63197252.cms,03,vijayawada,TOI,2018
513,2017/07/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-31T10:42:25+05:30->268258.txt,0,268258,[],http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/shraddha-kapoor-reveals-about-her-part-time-job/articleshow/59841230.cms,07,NA,TOI,2017
514,2017/04/10,10,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-04-10T11:25:52+05:30->186150.txt,0,186150,[],http://timesofindia.indiatimes.com//city/kolhapur/msrtc-loses-5-lakh-a-day-to-illegal-transport/articleshow/58104254.cms,04,kolhapur,TOI,2017
515,2017/03/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-21T08:10:31+05:30->171412.txt,0,171412,[],http://timesofindia.indiatimes.com//city/varanasi/with-10-ministers-purvanchal-gets-fair-share-in-new-govt/articleshow/57744355.cms,03,varanasi,TOI,2017
516,2017/07/20,20,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-20T00:00:00+05:30->259619.txt,0,259619,[],http://timesofindia.indiatimes.com//city/bengaluru/kabaddi-fans-disappointed-as-bengalurus-matches-shunted-out-of-the-city/articleshow/59667052.cms,07,NA,TOI,2017
517,2018/03/04,04,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-04T07:41:36+05:30->45893.txt,0,45893,[],http://timesofindia.indiatimes.com//city/lucknow/bus-with-foreign-tourists-attacked-in-gorakhpur/articleshow/63154708.cms,03,gorakhpur,TOI,2018
518,2017/03/24,24,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-24T08:04:34+05:30->173570.txt,0,173570,[],http://timesofindia.indiatimes.com//city/chandigarh/punjab-govt-to-cancel-permits-of-9251-buses/articleshow/57802676.cms,03,chandigarh,TOI,2017
519,2017/03/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-01T12:40:50+05:30->156463.txt,0,156463,[],http://timesofindia.indiatimes.com//city/bhopal/ias-officers-do-not-take-my-calls-refuse-to-talk-says-babulal-gaur/articleshow/57400280.cms,03,bhopal,TOI,2017
520,2017/03/07,07,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-07T02:29:45+05:30->160991.txt,0,160991,[],http://timesofindia.indiatimes.com//city/delhi/rid-delhi-of-garbage-aap-tells-voters/articleshow/57502929.cms,03,NA,TOI,2017
521,2018/03/18,18,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-18T06:36:22+05:30->56033.txt,0,56033,[],http://timesofindia.indiatimes.com//city/hyderabad/raids-on-hyderabad-judge-assets-after-high-court-nod-da-case-lodged/articleshow/63350635.cms,03,hyderabad,TOI,2018
522,2017/03/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-03-21T08:34:26+05:30->171432.txt,0,171432,[],http://timesofindia.indiatimes.com//city/mumbai/cop-hurt-as-bikers-hurl-tiles-to-escape-nakabandi/articleshow/57740993.cms,03,mumbai,TOI,2017
523,2017/02/05,05,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-02-05T00:56:21+05:30->138909.txt,0,138909,[],http://timesofindia.indiatimes.com//city/mumbai/1st-witness-to-testify-in-sheena-case-on-feb-23/articleshow/56977553.cms,02,mumbai,TOI,2017
